Sample	Soil	Host
Sample_1	GSC144	Commercial_kidney
Sample_10	GSC144	Commercial_navy
Sample_11	GSC145	Commercial_navy
Sample_12	GSC146	Commercial_navy
Sample_13	GSC147	Commercial_navy
Sample_14	GSC148	Commercial_navy
Sample_15	GSC149	Commercial_navy
Sample_16	GSC150	Commercial_navy
Sample_17	GSC151	Commercial_navy
Sample_18	GSC152	Commercial_navy
Sample_19	GSC144	Heritage_kidney
Sample_2	GSC145	Commercial_kidney
Sample_20	GSC145	Heritage_kidney
Sample_21	GSC146	Heritage_kidney
Sample_22	GSC147	Heritage_kidney
Sample_23	GSC148	Heritage_kidney
Sample_24	GSC149	Heritage_kidney
Sample_25	GSC150	Heritage_kidney
Sample_26	GSC151	Heritage_kidney
Sample_27	GSC152	Heritage_kidney
Sample_28	GSC144	Heritage_navy
Sample_29	GSC145	Heritage_navy
Sample_3	GSC146	Commercial_kidney
Sample_30	GSC146	Heritage_navy
Sample_31	GSC147	Heritage_navy
Sample_32	GSC148	Heritage_navy
Sample_33	GSC149	Heritage_navy
Sample_34	GSC150	Heritage_navy
Sample_35	GSC151	Heritage_navy
Sample_36	GSC152	Heritage_navy
Sample_4	GSC147	Commercial_kidney
Sample_5	GSC148	Commercial_kidney
Sample_6	GSC149	Commercial_kidney
Sample_7	GSC150	Commercial_kidney
Sample_8	GSC151	Commercial_kidney
Sample_9	GSC152	Commercial_kidney
